filename,size,bucket,action,reason,first_line
AI_INFINITE_LOOP_FIX_COMPLETE_JAN26_2026.md,12688,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# AI Infinite Loop Fix - COMPLETE Analysis (Jan 26, 2026)"
AI_INFINITE_LOOP_FIX_JAN26_2026.md,12270,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# AI Infinite Loop Fix - January 26, 2026"
AI_PRIME_CORRUPTION_ANALYSIS_NOV22.md,14826,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# AI Prime Message Corruption Analysis - November 22, 2025"
AI_PRIME_FIX_COMPLETE_SOLUTION_NOV22.md,12142,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# AI Prime Complete Fix - Message Corruption Solution
AI_SCHEDULER_QUICK_REFERENCE.md,12440,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# AI Scheduler Quick Reference
AI_STOP_BUTTON_IMPLEMENTATION_JAN19_2026.md,15060,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# AI Stop Button Implementation
AI_TOOL_INTELLIGENCE_SYSTEM_DESIGN.md,32508,Suspicious,review-needed,no pattern matched - needs judgement,# AI Tool Usage Intelligence System - Complete Design
AI_VISUALIZATION_IMPLEMENTATION_SUMMARY.md,12845,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# AI Visualization Implementation - Complete Summary
AI_WORKFLOW_INTEGRATION_VERIFIED.md,21272,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# AI Workflow Integration - Complete Verification ✅
ALL_9_SHOPIFY_CALCULATORS_COMPLETE_JAN23_2026.md,13247,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# Complete Shopify Calculator Audit - January 23, 2026"
ALL_FIXES_COMPLETE_NOV19.md,9881,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# All Fixes Complete - November 19, 2025 ✅"
ALL_NOTEPADS_REWRITE_COMPLETE_JAN24_2026.md,13039,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# ALL 3 NOTEPADS SHOPIFY CALCULATORS REWRITTEN - JANUARY 24, 2026"
ANALYSIS_SUMMARY_JAN13_2026.md,9723,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Analysis Complete: User ID Injection & ToolUseAgent Issues
ANTHROPIC_MESSAGE_FORMAT_VERIFIED_NOV23.md,11978,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,"# Anthropic Message Format Verification - November 23, 2025"
APEXCHARTS_DOM_ATTACHMENT_FIX_JAN23_2026.md,16237,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# APEXCHARTS DOM ATTACHMENT FIX - Jan 23, 2026"
APEXCHARTS_DOM_VALIDATION_FIX_JAN22_2026.md,10469,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# ApexCharts DOM Validation Fix
API_TESTING_RESULTS_NOV17.md,7942,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# API Endpoint Testing Results - November 17, 2025"
ARCHITECTURE.md,47201,Suspicious,review-needed,no pattern matched - needs judgement,# AI Agents Platform - System Architecture
ARCHITECTURE_COMPARISON_BEFORE_AFTER.md,17862,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Communication Hub Architecture: Before vs After Option 2
ARCHIVE_CLEANUP_PLAN.md,25359,Contract,keep,untouchable per per-feature prompt hard rules,# Archive & Cleanup Plan - v6 Branch
ARCHIVE_CLEANUP_SUMMARY_NOV30.md,5900,Contract,keep,untouchable per per-feature prompt hard rules,"# Archive Cleanup Summary - November 30, 2025"
ARCHIVE_CLEANUP_TRACKER.md,35741,Contract,keep,untouchable per per-feature prompt hard rules,# Archive & Cleanup Tracker
ARCHIVE_SAFETY_VERIFICATION.md,17420,Contract,keep,untouchable per per-feature prompt hard rules,# Archive Safety Verification Report
ARROW_RENDERING_FIX_COMPLETE.md,12312,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete analysis',# Arrow Rendering Fix - Complete Analysis and Solution
ASSESSMENT_SUMMARY.md,6757,Scratch,git mv -> archive/timelines_and_reports/,title contains 'assessment',# Connection Pool Implementation - Assessment Summary
ATTACHMENT_AND_THREAD_COMPLETE_ANALYSIS_DEC23_2025.md,19865,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# 📎 Email Attachment & Thread History - Complete Analysis
ATTACHMENT_CONVERSION_SUMMARY.md,5184,Scratch,git mv -> archive/timelines_and_reports/,title contains 'implementation summary',# Outlook Attachment Conversion - Implementation Summary
ATTACHMENT_ENDPOINTS_IMPLEMENTATION_COMPLETE_DEC23_2025.md,7737,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# Email Attachment Endpoints - Implementation Complete
ATTACHMENT_FIX_QUICK_START.md,8329,Historical,git mv -> archive/timelines_and_reports/,fix/debug/incident content,# Attachment Token Overflow - Quick Fix Guide
ATTACHMENT_TOKEN_OVERFLOW_FIX_JAN2_2026.md,9844,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# 📎 Attachment Token Overflow Fix - January 2, 2026"
AUTH_VISUAL_ENHANCEMENTS_NOV25.md,5225,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Authentication Visual Enhancements - November 25, 2025"
AUTO_EMBEDDING_IMPLEMENTATION.md,9103,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Auto-Embedding Implementation ✅
AUTO_RECOVERY_QUICK_REFERENCE.md,9511,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,"# Auto-Recovery Quick Reference - November 22, 2025"
AUTOMATION_AI_TOOL_SELECTION_GUIDE.md,12311,Suspicious,review-needed,no pattern matched - needs judgement,# AI Agent Automation Tool Selection Guide 🤖
AUTOMATION_CANVAS_BUG_FIXES.md,5544,Historical,git mv -> archive/timelines_and_reports/,fix/debug/incident content,"# Automation Canvas Bug Fixes - November 16, 2025"
AUTOMATION_CANVAS_BUTTONS_FIX_NOV23.md,10342,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Automation Canvas Buttons Fix - IMPLEMENTED (November 23, 2025)"
AUTOMATION_CANVAS_CORS_FIX_NOV19.md,4871,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Automation Canvas CORS Fix - November 19, 2025"
AUTOMATION_CANVAS_FIX_COMPLETE.md,12443,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete fix',# VISUAL AUTOMATION CANVAS - COMPLETE FIX IMPLEMENTATION
AUTOMATION_CANVAS_FIXES_NOV25.md,8450,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Automation Canvas Fixes - November 25, 2025"
AUTOMATION_CANVAS_FIXES_NOV28.md,10291,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# 🔧 Automation Canvas Critical Fixes - November 28, 2025"
AUTOMATION_CANVAS_IMPLEMENTATION_NOV19.md,16257,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,"# Visual Automation Canvas Implementation - November 19, 2025"
AUTOMATION_CANVAS_QUICK_REF.md,5948,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Visual Automation Canvas - Quick Reference
AUTOMATION_CANVAS_QUICK_START.md,8949,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# AUTOMATION CANVAS - QUICK START GUIDE
AUTOMATION_CANVAS_SYNTAX_FIX_NOV17.md,7031,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# Automation Canvas Syntax Error Fix
AUTOMATION_CANVAS_UX_IMPROVEMENTS.md,9194,Suspicious,review-needed,no pattern matched - needs judgement,# Automation Canvas UX Improvements
AUTOMATION_SCHEMA_DEBUG_COMPLETE_NOV24.md,13641,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# Automation Tool Suite Schema Update & Debug Logging - COMPLETE
AUTOMATION_SETTINGS_INTEGRATION_COMPLETE.md,22529,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete implementation',# 🎯 Automation Settings Integration - Complete Implementation Guide
AUTOMATION_SETTINGS_QUICK_REFERENCE.md,9875,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# 🚀 Automation Settings - Quick Reference
AUTOMATION_SLUG_ARCHITECTURE.md,28439,Suspicious,review-needed,no pattern matched - needs judgement,# Automation Slug Architecture - Complete Integration Guide
AUTOMATION_TABLES_SETUP_COMPLETE.md,3733,Suspicious,review-needed,no pattern matched - needs judgement,# Automation Tables Setup Complete
AUTOMATION_TOOL_SUITE_GAP_ANALYSIS.md,41134,Suspicious,review-needed,no pattern matched - needs judgement,# Automation Tool Suite - Comprehensive Gap Analysis
AUTOMATION_TOOLS_DOCUMENTATION_COMPLETE.md,14764,Suspicious,review-needed,no pattern matched - needs judgement,# Automation Tools Documentation - Complete ✅
AUTOMATION_TOOLS_PHASE1_COMPLETE.md,7575,Scratch,git mv -> archive/timelines_and_reports/,title contains 'phase 1',# Automation Tool Suite - Phase 1 Schema Updates Complete
AUTOMATION_TOOLS_PHASE1_PROGRESS.md,15225,Scratch,git mv -> archive/timelines_and_reports/,title contains 'phase 1',# Automation Tool Suite - Phase 1 Progress Report
AUTOMATION_UPDATE_TOOL_COMPLETE.md,12890,Suspicious,review-needed,no pattern matched - needs judgement,# Automation Update Tool Implementation - COMPLETE ✅
AUTOMATION_VS_WORKFLOW_TABLES_ANALYSIS.md,36358,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete analysis',# 🔍 Automation vs Workflow Tables - Complete Analysis
AUTOMATION_WORKFLOW_CONSOLIDATION_COMPLETE.md,7937,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Automation Workflow Consolidation - Complete
AUTOMATION_WORKFLOW_RENDERING_FIX_NOV23.md,7674,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Automation Workflow Rendering Fix - November 23, 2025"
AUTOMATION_WORKFLOW_SYSTEM_COMPLETE.md,13760,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete implementation',# ✅ Automation Workflow System - Complete Implementation
AUTOMATION_WORKFLOW_TABLES_GUIDE.md,17193,Suspicious,review-needed,no pattern matched - needs judgement,# 📊 Automation Workflow Tables - Visual Guide
AUTOMATION_WORKFLOWS.md,118413,Suspicious,review-needed,no pattern matched - needs judgement,# AUTOMATION_WORKFLOWS - Visual Workflow Canvas System
AUTOMATION_WORKFLOWS_CONSOLIDATION_REPORT.md,15607,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# AUTOMATION_WORKFLOWS.md - Consolidation Report
AUTOMATION_WORKFLOWS_ERROR_HANDLING_FIX.md,4604,Suspicious,review-needed,no pattern matched - needs judgement,# Automation Workflows Error Handling Fix - COMPLETE ✅
AUTOMATION_WORKFLOWS_FIX_COMPLETE.md,16948,Scratch,git mv -> archive/timelines_and_reports/,title contains 'fix complete',# Automation Workflows Module - Comprehensive Fix Complete
AUTOMATION_WORKFLOWS_QUICK_TEST.md,8016,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Automation Workflows - Quick Test Guide
AUTOSAVE_FIX_NOV26.md,10803,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Auto-Save Fix - November 26, 2025"
AUTOSCROLL_BUTTON_ANALYSIS.md,8896,Suspicious,review-needed,no pattern matched - needs judgement,# Auto-Scroll Button Logic Analysis - Agent Column
AVATAR_ICON_FIXES_NOV19.md,8320,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Avatar & Icon Fixes - November 19, 2025"
BACKEND_DOESNT_SAVE_MESSAGES_PROBLEM.md,14263,Scratch,git mv -> archive/timelines_and_reports/,title contains 'discovery:',"# CRITICAL DISCOVERY: Backend Doesn't Save Messages! (Nov 22, 2025)"
BACKEND_POLLING_FLOW.md,9460,Suspicious,review-needed,no pattern matched - needs judgement,# Backend Polling Flow Diagram
BACKEND_SAVE_TESTING_GUIDE.md,10822,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,"# Backend Message Save Testing Guide (Nov 22, 2025)"
BADGE_DEBUG_COMPREHENSIVE_GUIDE.md,11154,Scratch,git mv -> archive/timelines_and_reports/,title contains 'investigation',# Thread History Badge Investigation - Comprehensive Debug
BADGE_DEBUG_QUICK_REF.md,3304,Historical,git mv -> archive/timelines_and_reports/,fix/debug/incident content,# Quick Debug Reference - Thread History Badge Issue
BADGE_NOTIFICATION_SYSTEM_DEC13.md,16355,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Badge Notification System - December 13, 2025"
BATCHED_SEQUENTIAL_RENDERING_FIX_JAN4_2026.md,8817,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# 🔧 Batched Sequential Rendering Fix - Jan 4, 2026"
BISTART_CACHE_SYSTEM_UPGRADE_DEC9.md,7151,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# BISTART Cache-Busting System - Universal Upgrade
BLUEPRINT_SYSTEM_IMPLEMENTATION_COMPLETE.md,15285,Scratch,git mv -> archive/timelines_and_reports/,title contains 'implementation complete',# 🎯 Deployment Blueprint System - Implementation Complete
BOLLARD_SIGNS_ALIGNED_JAN23_2026.md,3838,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Bollard Signs - Complete Alignment Fix
BOLLARD_SIGNS_REAUDIT_JAN23_2026.md,14846,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# BOLLARD SIGNS - JSON-First Re-Audit (January 23, 2026)"
BOLLARD_SIGNS_SHOPIFY_VALIDATION_SPECS.md,8492,Suspicious,review-needed,no pattern matched - needs judgement,# BOLLARD SIGNS - SHOPIFY VALIDATION TEST CASES
BOLTS_INTEGRATION_SUCCESS.md,10276,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# ✅ BOLTS Fastener Library Integration - SUCCESS
BOUND_BOOKS_CALCULATOR_ANALYSIS_JAN23_2026.md,11502,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# BOUND BOOKS CALCULATOR ANALYSIS
BROWSER_CACHE_ISSUE_RESOLVED_NOV29.md,4924,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Browser Cache Issue - Resolved November 29, 2025"
BROWSER_CONSOLE_COMMANDS.md,7919,Suspicious,review-needed,no pattern matched - needs judgement,# 🔧 Browser Console Commands - Module System Diagnostics
BROWSER_HISTORY_MANAGEMENT_COMPLETE.md,17890,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete implementation',# Browser History Management System - Complete Implementation
BUSINESS_CARDS_ECONOMICAL_BACKEND_VERIFIED_JAN24_2026.md,9601,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Economical Business Cards - Backend Validation Status
BUSINESS_CARDS_PREMIUM_VALIDATION_COMPLETE_JAN24_2026.md,11050,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Premium Business Cards - Validation Complete
BUSINESS_CARDS_TXT_VS_BACKEND_COMPARISON_JAN24_2026.md,3958,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Business Cards - TXT vs Backend Comparison
CACHE_CLEAR_INSTRUCTIONS.md,5513,Suspicious,review-needed,no pattern matched - needs judgement,# 🔄 Clear Browser Cache - Fix Thread & Response Issues
CACHING_EXPLAINED_DEC5_2025.md,11976,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# How Smart Caching Works - Explained Simply
CAD_ACCURACY_FIX_README.md,7918,Suspicious,review-needed,no pattern matched - needs judgement,# 🎯 CAD Accuracy Fix - Complete Solution
CAD_ACTION_BAR_COMPLETE.md,15247,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete implementation',# CAD Action Bar Enhancement - Complete Implementation
CAD_BEFORE_AFTER_COMPARISON.md,12997,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Visual Comparison: Before vs After
CAD_QUICK_REFERENCE.md,7924,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# CAD Visualization - Quick Reference
CADQUERY_CHAT_RENDERING_GUIDE.md,15010,Scratch,git mv -> archive/timelines_and_reports/,title contains 'complete guide',# CadQuery Chat Rendering - Complete Guide
CADQUERY_PERSISTENT_STORAGE_SETUP.md,10736,Suspicious,review-needed,no pattern matched - needs judgement,# CadQuery Persistent Storage Setup - Complete ✅
CADQUERY_PLATFORM_INTEGRATION_ANALYSIS.md,14374,Debug,git mv -> archive/analysis_reports/,analysis/audit/research content,# ✅ CadQuery Platform Integration Analysis - COMPLETE
CADQUERY_PYTHON_CAD_SUCCESS.md,13591,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# ✅ CadQuery Python-Generated CAD - COMPLETE
CALCULATOR_ALIGNMENT_ASSESSMENT_JAN26_2026.md,14399,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,"# CALCULATOR ALIGNMENT ASSESSMENT - January 26, 2026"
CALCULATOR_ALIGNMENT_AUDIT_JAN23_2026.md,17261,Debug,git mv -> archive/analysis_reports/,analysis/audit/research content,"# Calculator Alignment Audit - January 23, 2026"
CALCULATOR_ALIGNMENT_AUDIT_JAN26_2026.md,8860,Debug,git mv -> archive/analysis_reports/,analysis/audit/research content,# CALCULATOR PATHWAY ALIGNMENT AUDIT - 11 Calculators
CALCULATOR_ALIGNMENT_INSTRUCTIONS.md,32631,Suspicious,review-needed,no pattern matched - needs judgement,# **CALCULATOR ALIGNMENT INSTRUCTIONS - Functional Flow & Architecture**
CALCULATOR_AUDIT_COMPLETE_JAN23_2026.md,15115,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# Complete Calculator Audit Results - January 23, 2026"
CALCULATOR_FIX_PROGRESS_JAN23_2026.md,4726,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# Calculator Fix Progress - January 23, 2026"
CALCULATOR_KWARGS_FIX_COMPLETE_JAN28_2026.md,12873,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Calculator **kwargs Fix - Complete Resolution
CALCULATOR_KWARGS_FIX_JAN28_2026.md,5542,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# Calculator Wrapper **kwargs Fix - January 28, 2026"
CALCULATOR_PATHWAY_ALIGNMENT_GUIDE.md,46355,Suspicious,review-needed,no pattern matched - needs judgement,# CALCULATOR FUNCTION PATHWAY ALIGNMENT - CRITICAL PROCESS
CALCULATOR_TEST_QUOTES_SUMMARY_JAN26_2026.md,33443,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# CALCULATOR TEST QUOTES & WEBSITE VALIDATION DATA
CALCULATOR_VALIDATION_TESTING_REANALYSIS_JAN26_2026.md,19049,Debug,git mv -> archive/analysis_reports/,analysis/audit/research content,# CALCULATOR VALIDATION & TESTING STATUS - COMPREHENSIVE REANALYSIS
CENTRALIZED_MESSAGE_STORE_IMPLEMENTATION.md,23854,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Centralized Message Store - Implementation Guide
CHANGES_SUMMARY_NOV17.md,11056,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Changes Summary - November 17, 2025"
CHAT_BUTTON_FIXES_DECEMBER_2024.md,9101,Suspicious,review-needed,no pattern matched - needs judgement,# Chat Button Behavior Fixes - December 2024
CHAT_SIDEBAR_END_TO_END_TRACE.md,19800,Suspicious,review-needed,no pattern matched - needs judgement,# Chat Sidebar - Complete End-to-End Trace
CHAT_SIDEBAR_FINAL_SUMMARY.md,28811,Scratch,git mv -> archive/timelines_and_reports/,title contains 'implementation summary',# WhatsApp-Style Chat Sidebar - Final Implementation Summary
CHAT_SIDEBAR_HTML_TEMPLATE.md,13021,Suspicious,review-needed,no pattern matched - needs judgement,# Chat Sidebar HTML Template
CHAT_SIDEBAR_IMPLEMENTATION_GUIDE.md,17350,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# 💬 WhatsApp-Style Chat Sidebar - Complete Implementation Guide
CHAT_SIDEBAR_QUICK_REFERENCE.md,7664,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Chat Sidebar - Quick Reference Card
CHAT_SIDEBAR_STYLING_DEBUG.md,7195,Suspicious,review-needed,no pattern matched - needs judgement,# Chat Sidebar Styling Debug Guide
CHAT_SIDEBAR_TABS_DESIGN.md,3,Suspicious,review-needed,no pattern matched - needs judgement,﻿
CIRCUIT_ANIMATION_FIX_COMPLETE.md,10010,Suspicious,review-needed,no pattern matched - needs judgement,# Circuit Animation Fix - Complete
CIRCUIT_ANIMATION_FIX_DEC10.md,8457,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# ✅ Circuit Animation Fixed - UI Shows Immediately
CLAUDE.md,62325,Contract,keep,untouchable per per-feature prompt hard rules,# CLAUDE.md — AI Agents Platform (V11)
CLEANUP_COMPLETE_NOV20_2025.md,13532,Historical,git mv -> archive/timelines_and_reports/,dated 2025,# 🎉 Session Files Cleanup Complete
CLEANUP_SUCCESS_DEC11.md,11343,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Calculator Cleanup - SUCCESS! ✅
CLEAR_SERVICE_WORKER_CACHE.md,3154,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# 🚨 CRITICAL: Service Worker Cache Blocking Update
CLIENTS_TABLE_FIX_SUMMARY_DEC23_2025.md,5732,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# 🔧 InHouse Database Clients Table Fix - December 23, 2025"
CLOUD_STORAGE_OUTLOOK_SEARCH_INTEGRATION.md,22734,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Cloud Storage & Outlook Universal Search Integration
CLOUD_STORAGE_VECTOR_QUICK_START.md,18050,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# Cloud Storage to Vector Database - Quick Start Guide
CODE_ARCHAEOLOGY_COMPLETE_USER_MESSAGE_FIX.md,19734,Suspicious,review-needed,no pattern matched - needs judgement,# CODE ARCHAEOLOGY COMPLETE: User Message Persistence Bug
CODE_ARCHEOLOGY_ASSIGNEES_MAP_ERROR_DEC16.md,13904,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Code Archeology Report: ""assignees.map is not a function"" Error"
CODE_ARCHEOLOGY_PHASE2_CREDENTIAL_FLOW_MAP.md,27679,Scratch,git mv -> archive/timelines_and_reports/,title contains 'phase 2',# Code Archeology Phase 2: Forward Trace - Complete Credential Flow Map
CODE_BLOCK_ENHANCEMENT_IMPLEMENTATION_DEC5_2025.md,21304,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# 🎨 Code Block Enhancement Implementation - AI_agents System
CODE_BLOCK_FIX_VISUAL_GUIDE.md,13083,Scratch,git mv -> archive/timelines_and_reports/,title contains 'before/after',# 🎨 Code Block Enhancement - Visual Before/After Guide
CODE_BLOCK_QUICK_START_DEC5_2025.md,5357,Scratch,git mv -> archive/timelines_and_reports/,fix/progress/summary content,# 🚀 Code Block Enhancement - Quick Start Guide
CODE_BLOCK_RENDERING_FIX_DEC5_2025.md,13654,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# 🔧 Code Block Rendering Fix - December 5, 2025"
CODE_BLOCK_UI_IMPROVEMENTS_DEC5_2025.md,10774,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# 🎨 Code Block UI Improvements - December 5, 2025"
CODE_BLOCK_UI_IMPROVEMENTS_DEC8_2025.md,6549,Historical,git mv -> archive/timelines_and_reports/,dated 2025,"# Code Block UI Improvements - December 8, 2025"
CODE_BLOCK_VISUAL_GUIDE.md,12915,Scratch,git mv -> archive/timelines_and_reports/,title contains 'before & after',# 🎨 Code Block Visual Guide - Before & After
CODE_CHANGES_EXACT_DIFF.md,6630,Suspicious,review-needed,no pattern matched - needs judgement,# Code Changes - Exact Diff
CODE_UPDATE_CHECKLIST.md,13800,Suspicious,review-needed,no pattern matched - needs judgement,# Code Update Checklist - Thread Schema Migration
COMMIT_READY_SUMMARY.md,5705,Scratch,git mv -> archive/timelines_and_reports/,title contains 'implementation complete',# Feature Implementation Complete - Ready to Commit
COMMUNICATION_HUB_AI_ASSIGNMENT_FIX_JAN21_2026.md,15387,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# Communication Hub AI Assignment Display Fix - January 21, 2026"
COMMUNICATION_HUB_ASSIGNED_AGENT_COLUMN_FIX_JAN18_2026.md,14953,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Communication Hub - Assigned Agent Column Fix
COMMUNICATION_HUB_IMMEDIATE_UI_FIX_COMPLETE_JAN21_2026.md,14961,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Communication Hub - Immediate AI Assignment UI Fix (COMPLETE)
COMMUNICATION_HUB_TECHNICAL_DOCUMENTATION.md,65538,Suspicious,review-needed,no pattern matched - needs judgement,# Communication Hub - Technical Documentation
COMMUNICATION_HUB_THREAD_FIX_JAN19_2026.md,9330,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Communication Hub Thread Fix - Show Both Inbound & Outbound Emails
COMMUNICATION_HUB_THREAD_FIX_JAN21_2026.md,9795,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,"# Communication Hub Thread Fix - January 21, 2026"
COMMUNICATION_HUB_THREAD_SENT_EMAILS_FIX_JAN18_2026.md,10465,Scratch,git mv -> archive/timelines_and_reports/,dated 2026,# Communication Hub - Thread Sent Emails Fix
