filename,ext,size_bytes,mtime
SUPABASE_SETUP_COMPLETE.ps1,.ps1,4795,1781178097.5714629
sync-to-valorai.ps1,.ps1,3206,1781178102.4333954
synergy_full_output.txt,.txt,36658,1781178102.4348996
synergy_output.txt,.txt,35106,1781178102.4348996
synergy_ui_test.html,.html,51754,1781178102.4359047
temp_check.txt,.txt,3319,1781178102.4359047
TEMP_OLD_inhouse-kanban.css,.css,15585,1781178097.6135333
TEMP_OLD_inhouse-kanban.js,.js,192952,1781178097.6150503
temp_synergy_styles.css,.css,17651,1781178102.4359047
TEMP_V9_analysis.js,.js,192952,1781178097.6155534
test-ai-api-sequential.html,.html,33123,1781178102.4422815
test-ai-tools-flow.html,.html,36872,1781178102.4422815
test_77_queries_output.txt,.txt,351758,1781178102.4432812
test_api_response.js,.js,1206,1781178102.4528067
test_comm_hub_simple.html,.html,9511,1781178102.4603183
test_communication_hub.html,.html,8727,1781178102.4603183
test_communication_hub_live.html,.html,14528,1781178102.4603183
test_communication_hub_smoke.js,.js,7800,1781178102.4613178
test_communication_hub_standalone.html,.html,9339,1781178102.4613178
test_communication_with_auth.html,.html,18077,1781178102.4618213
test_email_thread_system.ps1,.ps1,11025,1781178102.4708548
test_fix_output.txt,.txt,9520,1781178102.4819164
test_frontend_imports.html,.html,12349,1781178102.4844208
test_guide_output.txt,.txt,50492,1781178102.488425
test_modern_framework_loading.html,.html,9275,1781178102.5090578
test_output.txt,.txt,0,1781178102.511057
test_output_temp.txt,.txt,3418,1781178102.5120554
TEST_PRIME_FIX.js,.js,1799,1781178097.6165783
TEST_PRIME_SCROLL_VISIBILITY.js,.js,6590,1781178097.6170895
test_result.txt,.txt,142844,1781178102.5202515
test_results.txt,.txt,29084,1781178102.5202515
TEST_SVG_METADATA_HIDING.html,.html,14484,1781178097.6216807
test_thinking_separator.js,.js,3045,1781178102.5297692
TEST_THREAD_EXPANSION_FIXES.html,.html,12122,1781178097.624748
test_thread_id_system.js,.js,7346,1781178102.5297692
test_vector_database_v4.html,.html,13377,1781178102.5327692
thread_2111_db_order.txt,.txt,398,1781178102.5796437
thread_2111_detailed.txt,.txt,44422,1781178102.5796437
THREAD_COPY_OUTPUT_EXAMPLE.txt,.txt,3053,1781178097.6310158
thread_locations_export.csv,.csv,275,1781178102.580644
tmp_row52_classification.csv,.csv,11799,1781266717.0398736
tmp_row52_inventory.csv,.csv,5719,1781266540.0046165
tmp_row52_summary.txt,.txt,4330,1781266717.0398736
track_script_balance.ps1,.ps1,1352,1781178102.6299884
verify_ui_paths.ps1,.ps1,3692,1781178102.6404974
watch_dom_mutations.js,.js,2452,1781178102.6414976
